rank,name,population,percentage,date,source
1,China,"1,411,778,724",17.9%,1 Nov 2020,Preliminary 2020 census result
2,India,"1,376,882,162",17.5%,13 May 2021,National population clock
3,United States,"331,662,070",4.22%,13 May 2021,National population clock
4,Indonesia,"271,350,000",3.45%,31 Dec 2020,National annual estimate
5,Pakistan,"225,200,000",2.86%,1 Jul 2021,UN projection
6,Brazil,"213,128,391",2.71%,13 May 2021,National population clock
7,Nigeria,"211,401,000",2.69%,1 Jul 2021,UN projection
8,Bangladesh,"170,656,076",2.17%,13 May 2021,National population clock
9,Russia,"146,171,015",1.86%,1 Jan 2021,National annual estimate
10,Mexico,"126,014,024",1.60%,2 Mar 2020,2020 census result
11,Japan,"125,410,000",1.59%,1 Apr 2021,Monthly national estimate
12,Ethiopia,"117,876,000",1.50%,1 Jul 2021,UN projection
13,Philippines,"110,215,481",1.40%,13 May 2021,National population clock
14,Egypt,"101,861,319",1.29%,13 May 2021,National population clock
15,Vietnam,"97,580,000",1.24%,1 Jul 2020,National annual estimate
16,DR Congo,"92,378,000",1.17%,1 Jul 2021,UN projection
17,Iran,"84,438,713",1.07%,13 May 2021,National population clock
18,Turkey,"83,614,362",1.06%,31 Dec 2020,National annual estimate
19,Germany,"83,190,556",1.06%,30 Sep 2020,National quarterly estimate
20,France,"67,406,000",0.857%,1 Apr 2021,Monthly national estimate
21,United Kingdom,"66,796,807",0.849%,30 Jun 2019,National annual estimate
22,Thailand,"66,645,930",0.847%,13 May 2021,National population clock
23,South Africa,"59,622,350",0.758%,1 Jul 2020,National annual estimate
24,Tanzania,"59,441,988",0.756%,1 Jul 2021,National annual projection
25,Italy,"59,226,539",0.753%,31 Jan 2021,Monthly national estimate
26,Myanmar,"55,294,979",0.703%,1 Jul 2021,National annual projection
27,South Korea,"51,702,100",0.657%,1 Apr 2021,Monthly national estimate
28,Colombia,"51,049,498",0.649%,30 Jun 2021,National annual projection
29,Kenya,"47,564,296",0.605%,31 Aug 2019,2019 census result
30,Spain,"47,351,567",0.602%,1 Jul 2020,National semi-annual estimate
31,Argentina,"45,808,747",0.582%,1 Jul 2021,National annual projection
32,Algeria,"44,700,000",0.568%,1 Jan 2021,National annual estimate
33,Sudan,"43,462,950",0.552%,13 May 2021,National population clock
34,Uganda,"42,885,900",0.545%,1 Jul 2021,National annual projection
35,Ukraine,"41,527,205",0.528%,1 Mar 2021,Monthly national estimate
36,Iraq,"41,190,700",0.524%,1 Jul 2021,National annual projection
37,Canada,"38,446,733",0.489%,13 May 2021,National population clock
38,Poland,"38,230,000",0.486%,28 Feb 2021,Monthly national estimate
39,Morocco,"36,248,209",0.461%,13 May 2021,National population clock
40,Uzbekistan,"34,858,533",0.443%,13 May 2021,National population clock
41,Saudi Arabia,"34,218,169",0.435%,1 Jul 2019,National annual estimate
42,Peru,"33,035,304",0.420%,1 Jul 2021,National annual projection
43,Afghanistan,"32,890,171",0.418%,1 Jul 2020,National annual estimate
44,Malaysia,"32,774,220",0.417%,13 May 2021,National population clock
45,Angola,"32,097,671",0.408%,30 Jun 2021,National annual projection
46,Ghana,"30,955,202",0.393%,1 Jul 2020,National annual projection
47,Mozambique,"30,832,244",0.392%,1 Jul 2021,National annual projection
48,Yemen,"30,491,000",0.388%,1 Jul 2021,UN projection
49,Nepal,"30,378,055",0.386%,1 Jul 2021,National annual projection
50,Venezuela,"28,705,000",0.365%,1 Jul 2021,UN projection
51,Ivory Coast,"27,087,732",0.344%,1 Jul 2021,National annual projection
52,Madagascar,"26,923,353",0.342%,1 Jul 2021,National annual projection
53,Australia,"25,796,275",0.328%,13 May 2021,National population clock
54,North Korea,"25,660,000",0.326%,1 Jul 2021,National annual projection
55,Cameroon,"24,348,251",0.309%,1 Jul 2019,National annual projection
56,Niger,"24,112,753",0.306%,1 Jul 2021,National annual projection
–,Taiwan,"23,514,196","0.299%
",30 Apr 2021,Monthly national estimate
57,Sri Lanka,"21,919,000",0.279%,1 Jul 2020,National annual estimate
58,Burkina Faso,"21,510,181",0.273%,1 Jul 2020,National annual projection
59,Mali,"20,856,000",0.265%,1 Jul 2021,UN projection
60,Chile,"19,678,363",0.250%,30 Jun 2021,National annual projection
61,Romania,"19,317,984",0.246%,1 Jan 2020,National annual estimate
62,Kazakhstan,"18,924,568",0.241%,13 May 2021,National population clock
63,Malawi,"18,898,441",0.240%,1 Jul 2021,National annual projection
64,Zambia,"18,400,556",0.234%,1 Jul 2021,National annual projection
65,Syria,"18,276,000",0.232%,1 Jul 2021,UN projection
66,Ecuador,"17,731,180",0.225%,13 May 2021,National population clock
67,Netherlands,"17,593,131",0.224%,13 May 2021,National population clock
68,Senegal,"17,223,497",0.219%,1 Jul 2021,National annual projection
69,Guatemala,"17,109,746",0.217%,1 Jul 2021,National annual projection
70,Chad,"16,818,391",0.214%,1 Jul 2021,National annual projection
71,Somalia,"16,360,000",0.208%,1 Jul 2021,UN projection
72,Zimbabwe,"15,790,716",0.201%,1 Jul 2021,National annual projection
73,Cambodia,"15,552,211",0.198%,3 Mar 2019,2019 census result
74,South Sudan,"13,249,924",0.168%,1 Jul 2020,National annual projection
75,Rwanda,"12,955,768",0.165%,1 Jul 2021,National annual projection
76,Guinea,"12,907,395",0.164%,1 Jul 2021,National annual projection
77,Burundi,"12,574,571",0.160%,1 Jul 2021,National annual projection
78,Benin,"12,506,347",0.159%,1 Jul 2021,National annual projection
79,Bolivia,"11,797,257",0.150%,1 Jul 2021,National annual projection
80,Tunisia,"11,746,695",0.149%,1 Jul 2020,National semi-annual estimate
81,Haiti,"11,743,017",0.149%,1 Jul 2020,National annual projection
82,Belgium,"11,560,220",0.147%,1 Mar 2021,Monthly national estimate
83,Cuba,"11,193,470",0.142%,31 Dec 2019,National annual estimate
84,Jordan,"10,943,340",0.139%,13 May 2021,National population clock
85,Greece,"10,718,565",0.136%,1 Jan 2020,National annual estimate
86,Czech Republic,"10,701,777",0.136%,31 Dec 2020,National quarterly estimate
87,Dominican Republic,"10,535,535",0.134%,1 Jul 2021,National annual projection
88,Sweden,"10,389,806",0.132%,31 Mar 2021,Monthly national estimate
89,Portugal,"10,295,909",0.131%,31 Dec 2019,National annual estimate
90,Azerbaijan,"10,122,148",0.129%,1 Feb 2021,Monthly national estimate
91,Hungary,"9,730,000",0.124%,1 Jan 2021,National annual estimate
92,United Arab Emirates,"9,503,738",0.121%,31 Dec 2019,National annual estimate
93,Honduras,"9,450,711",0.120%,1 Jul 2021,National annual projection
94,Belarus,"9,349,645",0.119%,1 Jan 2021,National annual estimate
95,Israel,"9,344,519",0.119%,13 May 2021,National population clock
96,Tajikistan,"9,313,800",0.118%,1 Jan 2020,National annual estimate
97,Papua New Guinea,"9,122,994",0.116%,1 Jul 2021,National annual projection
98,Austria,"8,933,346",0.114%,1 Jan 2021,National quarterly estimate
99,Switzerland,"8,667,100",0.110%,31 Dec 2020,National quarterly estimate
100,Sierra Leone,"8,297,882",0.105%,1 Jul 2021,National annual projection
101,Togo,"7,886,000",0.100%,1 Jul 2021,National annual projection
–,Hong Kong,"7,474,200","0.0950%
",31 Dec 2020,National semi-annual estimate
102,Paraguay,"7,353,038",0.0935%,1 Jul 2021,National annual projection
103,Laos,"7,337,783",0.0933%,1 Jul 2021,National annual projection
